path,sha256,bytes,source_commit,author,license,modification,release_inclusion
krita/data/cursors/color-sampler_layer_foreground.xpm,f4cdba882fc435bfda92bd8d7da943e2dd9ed31bcae0c512c60b5ec89eeb2de0,1268,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/cursor-cross.xpm,aab64bb49367bcde04e13ec98d20e536de1473a8ca698fc667a7fe180257932c,1174,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/cursor-eraser.xpm,0a5de05b6410028538ca0d5974098888e71e08b1574076fe29bdc0ae43b99f30,1241,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/cursor-pixel-black.xpm,bdc9e32c127d4692689e6f31ea5ac2fe2c78429d394e373a6407a726e0f6f3d3,1171,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/cursor-pixel-white.xpm,a0afe346ae2c57070474414a234d4eb74986d227644c6b09da6b330611eba82f,1171,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/cursor-round.xpm,1973571eb5d9e2d9cbb3b44b1cc774306f91dc1d4eeab215653c4a2740296f17,1174,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/cursor-triangle_lefthanded.xpm,7aeb71bf6cafbf8de031ed1fe3ee5fa5daad134225caa0898c163c5273dc95df,1193,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/cursor-triangle_righthanded.xpm,065c54f03f75a3e7d24c03c8ef3ca34ec6e9ddaabacfee8b369d765052a9a12d,1193,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/cursors.qrc,53a5549f67bcdf504558e82f72c00e038c0d9032b5003cd3415a702302831ce8,1259,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/exposure-cursor-gesture.xpm,c3daa83f4ef5786e743ea1de7f10445a9cc5215b7031f1fe726f7584ec741ed1,1266,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/gamma-cursor-gesture.xpm,0a7bb717dc272ba3e5dee26863311f1bbb876012b1d279705e31e0a692ca7823,1263,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/move-selection.xpm,db4e9c33ab06ada28f3edc91cefff7f3592c499209dadaf471eddc3f4ac85d54,1257,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/move-tool.xpm,53a254616721dae37dd57306ae04ce0dbbaa8f96e8314fa5eece1347a2d8aa05,772,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/precise-pick-layer-icon.xpm,d5507355b3aa8eda788e4fa1ea3e953a2ead7ebffd5d74aee741bcf53dcf7d3c,1261,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/rotate_cursor.xpm,0020d69367187e9844af6b5de4a2989d8a7e5735f6635729d38602acef4acb13,681,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/rotate_discrete.xpm,6fc0b4f160872247b57b5d23387e19dc90ea2a37967a635d9493d4af122f7be4,1253,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/rotate_smooth.xpm,7cdcc16acf0cf8a714cea7b2ec6106138e170d043cac79fdda8a3e8ce110d13a,1251,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/shear_x.xpm,d4183491f09f3c094260172a282e6ba218a1272146afcab52869cecc45eaf01d,1245,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/shear_y.xpm,517bcebe67397457ecced8507f83aae46bb68c9f29fd53e6ad2a090b45a9c070,1245,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/tool_color_sampler_cursor.xpm,b554b94e8b49d323a5e678cad048bd2c58a7e205bb8bf7d5e9ce7fb669659881,1268,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/tool_freehand_cursor.xpm,c9d1db5c4f69be1ee75935831b851469ae08aa59bfec4b92273374734439e75f,1263,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/zoom_discrete.xpm,ff57ba30818b7d36186d5292c006754b1b41e0085c44552dba7df66beef7c8ea,1251,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/cursors/zoom_smooth.xpm,4eaece5244a51a1e9de8f9f27ad269545ba5d961bf72afcdf467ffa71d9ce545,1249,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/donation/CMakeLists.txt,8e6d9e223f5d8f34003a12abe67cddc2a7f7dc8edcc99c6004e0e11978ad6390,165,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/donation/banner.png,81be8c27cb2f3d670c2a048f30939a4888e60b9313e902db68d7934f88ce378d,117589,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/donation/welcomebanner1.jpg,d68e36ec09f20696f7b8ae2b5f7a0ba50e1facc9a6aeb8d32cef77315a02be8e,540603,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/donation/welcomebanner2.jpg,09e006a29bd7e5b1547525e677af368a87b52cd2157192e75fb755927dcbc9a8,426823,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/donation/welcomebanner3.jpg,daee461a0911300f8f1d45f29a70c66b7afe70b47b47f338b415f771b89d645f,494456,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/donation/welcomebanner4.jpg,9e36ce710c966b0ce16a84ebef4777fe3aea7c7473c09a9406634b849b64d97f,284347,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
krita/data/gamutmasks/Atmosphere_With_Accent.kgm,df6fcbda83f4e2c293656c7e6b674b4747be559ea3ff4ecd63b6dffbfc8daf5c,27456,e7e52a72ed37ecaf9ffaa2fab836b7c2f5539d1f,NOASSERTION,NOASSERTION,unchanged upstream baseline,not release-cleared
